2023-10-02 19:40:08,894.price-producer.INFO ==================================================
2023-10-02 19:40:08,894.price-producer.INFO Today is 2023-10-02 at 07:40 PM
2023-10-02 19:40:08,894.price-producer.INFO Running on: posix Darwin 22.5.0
2023-10-02 19:40:08,894.price-producer.INFO Python version:  3.11.2
2023-10-02 19:40:08,894.price-producer.INFO Python path: /Users/macbeth/Documents/Streaming Data/Module 7/streaming-07-gold-silver-prices/.venv
2023-10-02 19:40:08,894.price-producer.INFO Working dir: /Users/macbeth/Documents/Streaming Data/Module 7/streaming-07-gold-silver-prices
2023-10-02 19:40:08,894.price-producer.INFO ==================================================
2023-10-02 19:40:10,423.price-producer.INFO Offer to monitor RabbitMQ queues.
2023-10-02 19:40:10,588.price-producer.INFO Answer is y.
2023-10-02 19:40:10,641.price-producer.INFO Skipped header row
2023-10-02 20:32:41,458.price-producer.INFO [x] Sent ('1/13/14', '20.19') to 02-silver
2023-10-02 20:33:11,468.price-producer.INFO [x] Sent ('1/14/14', '1252.7') to 01-gold
2023-10-02 20:33:11,469.price-producer.INFO [x] Sent ('1/14/14', '20.39') to 02-silver
2023-10-02 20:33:41,480.price-producer.INFO [x] Sent ('1/15/14', '1244.3') to 01-gold
2023-10-02 20:33:41,482.price-producer.INFO [x] Sent ('1/15/14', '20.255') to 02-silver
2023-10-02 20:34:11,496.price-producer.INFO [x] Sent ('1/16/14', '1241.8') to 01-gold
2023-10-02 20:34:11,496.price-producer.INFO [x] Sent ('1/16/14', '20.21') to 02-silver
2023-10-02 20:34:41,508.price-producer.INFO [x] Sent ('1/17/14', '1241.7') to 01-gold
2023-10-02 20:34:41,509.price-producer.INFO [x] Sent ('1/17/14', '20.1') to 02-silver
2023-10-02 20:35:11,514.price-producer.INFO [x] Sent ('1/20/14', '1251.9') to 01-gold
2023-10-02 20:35:11,514.price-producer.INFO [x] Sent ('1/20/14', '20.304') to 02-silver
2023-10-02 20:35:41,521.price-producer.INFO [x] Sent ('1/21/14', '1254.1') to 01-gold
2023-10-02 20:35:41,523.price-producer.INFO [x] Sent ('1/21/14', '20.305') to 02-silver
2023-10-02 20:36:11,529.price-producer.INFO [x] Sent ('1/22/14', '1240.5') to 01-gold
2023-10-02 20:36:11,530.price-producer.INFO [x] Sent ('1/22/14', '19.875') to 02-silver
2023-10-02 20:36:41,537.price-producer.INFO [x] Sent ('1/23/14', '1235.1') to 01-gold
2023-10-02 20:36:41,537.price-producer.INFO [x] Sent ('1/23/14', '19.775') to 02-silver
2023-10-02 20:37:11,544.price-producer.INFO [x] Sent ('1/24/14', '1264.3') to 01-gold
2023-10-02 20:37:11,545.price-producer.INFO [x] Sent ('1/24/14', '20') to 02-silver
2023-10-02 20:37:41,549.price-producer.INFO [x] Sent ('1/27/14', '1269.9') to 01-gold
